"AN","AR","AS","CB","CE","CL","CM","CN","CT","EX","GA","IB","MC","MD","ML","NC","PV","RI","VC"
565,768,534,491,894,860,529,76,557,501,289,231,722,298,796,662,795,707,464
577,733,585,492,891,853,537,78,556,487,284,236,711,320,703,627,793,717,472
580,706,609,500,875,863,540,78,549,475,278,236,706,319,679,569,795,714,483
575,679,609,486,796,847,509,78,490,451,279,234,680,315,636,522,776,697,467
558,647,609,486,748,834,492,75,456,436,273,229,636,301,579,490,747,654,448
541,603,605,506,701,814,468,76,429,408,265,223,607,288,559,448,723,609,436
523,569,593,494,660,786,448,73,400,373,261,216,570,278,547,416,696,572,424
498,520,570,484,585,741,426,70,370,350,263,222,523,262,526,390,671,532,413
492,492,576,482,583,711,425,68,370,338,264,205,488,277,545,372,652,531,410
489,483,562,467,564,691,419,69,365,326,264,206,481,276,551,357,627,521,410
453,445,557,443,509,660,393,69,325,300,261,200,430,262,508,339,592,508,394
418,401,528,423,459,609,370,69,300,278,258,194,385,250,482,322,554,471,376
391,371,507,400,424,571,350,70,281,254,252,193,345,242,459,300,522,448,358
362,347,467,382,386,512,335,71,266,241,243,189,314,234,447,286,483,424,347
333,328,416,364,359,478,311,68,251,242,236,190,289,223,443,278,455,384,331
328,326,399,353,359,458,306,69,257,232,235,191,275,241,413,271,436,395,325
323,328,389,345,359,446,310,72,257,229,229,195,268,241,406,260,424,397,326
299,312,379,320,315,416,285,72,229,214,221,186,242,222,382,251,404,390,312
271,294,355,290,274,369,272,69,216,204,211,184,219,213,376,238,379,352,293
249,281,334,284,240,337,267,72,210,198,201,187,202,213,344,229,360,338,282
230,274,325,276,219,306,260,77,206,191,188,190,192,213,341,221,344,318,273
212,264,313,273,187,287,256,78,199,188,180,201,182,208,299,212,327,294,263
208,261,300,269,176,279,269,83,208,187,177,209,177,224,295,215,317,288,266
208,263,299,277,182,271,270,88,209,189,175,212,183,225,291,208,314,279,270
195,255,289,264,163,252,252,86,191,180,169,215,168,211,265,198,302,278,260
175,240,259,254,144,230,243,87,190,169,163,216,157,196,236,192,285,246,246
158,225,244,249,128,210,232,86,176,157,160,220,142,182,226,183,279,234,230
147,213,229,239,132,193,233,90,183,146,153,225,139,190,233,172,268,223,226
141,214,215,236,121,185,240,95,186,151,153,239,137,198,232,173,264,201,239
145,213,219,233,132,189,253,97,202,167,154,250,143,230,234,178,266,209,259
150,215,210,227,135,190,263,109,207,177,160,270,151,236,236,180,267,202,280
143,209,209,224,126,177,254,110,195,175,160,274,144,224,208,178,263,200,279
137,197,197,202,128,166,254,107,205,185,157,289,142,231,213,183,254,186,287
137,194,186,196,126,168,261,112,216,200,160,311,139,246,214,180,255,187,305
137,192,173,183,122,163,270,115,227,218,164,336,142,262,230,186,252,189,329
136,189,162,174,127,157,271,118,237,232,167,362,141,272,240,180,255,196,348
140,194,149,164,111,162,294,119,260,257,171,395,144,304,240,184,258,198,380
143,198,144,160,103,161,306,126,268,272,173,414,153,311,238,182,259,210,408
142,196,141,156,106,157,300,123,258,282,173,428,148,311,231,180,256,215,412
148,200,138,151,110,159,313,125,288,309,168,451,157,339,249,179,248,206,442
151,202,135,154,106,158,328,127,300,334,172,476,161,353,241,177,253,219,477
151,189,131,149,99,151,343,126,312,370,176,491,165,368,234,179,246,229,503
146,194,120,146,81,143,341,126,320,374,178,494,165,343,223,179,238,220,513
142,190,116,148,76,137,339,118,320,374,175,487,161,342,227,177,228,218,506
144,188,108,145,86,139,343,118,324,394,174,510,167,347,229,178,223,226,522
