,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
50,72.0,169.0,87.0,159.0,74.0,303.0,380.0,43.0,253.0,133.0,163.0,79.0,55.0,362.0,69.0,330.0,273.0,573.0,107.0
51,68.0,169.0,85.0,154.0,73.0,294.0,372.0,40.0,247.0,124.0,157.0,74.0,55.0,346.0,66.0,325.0,263.0,561.0,103.0
52,63.0,166.0,82.0,147.0,71.0,283.0,359.0,36.0,238.0,112.0,149.0,69.0,53.0,327.0,62.0,314.0,250.0,542.0,98.0
53,58.0,161.0,79.0,139.0,67.0,270.0,342.0,33.0,229.0,100.0,139.0,63.0,50.0,306.0,57.0,300.0,234.0,516.0,92.0
54,52.0,155.0,76.0,130.0,63.0,257.0,323.0,29.0,219.0,86.0,129.0,57.0,45.0,284.0,52.0,283.0,216.0,486.0,85.0
55,47.0,147.0,72.0,122.0,59.0,245.0,304.0,26.0,210.0,74.0,118.0,52.0,41.0,264.0,47.0,266.0,199.0,455.0,79.0
56,44.0,141.0,70.0,115.0,55.0,237.0,290.0,24.0,204.0,66.0,110.0,47.0,38.0,249.0,43.0,254.0,186.0,430.0,74.0
57,41.0,136.0,68.0,110.0,51.0,231.0,278.0,22.0,200.0,60.0,103.0,43.0,35.0,238.0,39.0,245.0,175.0,408.0,68.0
58,38.0,130.0,65.0,104.0,47.0,223.0,265.0,20.0,195.0,53.0,95.0,39.0,32.0,226.0,35.0,235.0,165.0,383.0,64.0
59,34.0,122.0,61.0,97.0,42.0,213.0,251.0,18.0,187.0,46.0,87.0,35.0,28.0,213.0,30.0,220.0,154.0,355.0,58.0
60,31.0,114.0,57.0,91.0,39.0,203.0,238.0,17.0,180.0,41.0,80.0,32.0,24.0,202.0,25.0,207.0,144.0,329.0,53.0
61,29.0,107.0,53.0,85.0,36.0,195.0,226.0,15.0,173.0,38.0,74.0,29.0,20.0,191.0,22.0,194.0,134.0,305.0,48.0
62,26.0,99.0,49.0,79.0,33.0,184.0,212.0,14.0,164.0,35.0,68.0,26.0,17.0,180.0,20.0,181.0,125.0,279.0,43.0
63,24.0,93.0,46.0,75.0,30.0,178.0,201.0,13.0,159.0,34.0,63.0,24.0,14.0,172.0,18.0,171.0,119.0,260.0,39.0
64,23.0,89.0,43.0,72.0,29.0,173.0,193.0,12.0,155.0,35.0,60.0,23.0,12.0,167.0,17.0,164.0,114.0,245.0,37.0
65,22.0,84.0,40.0,68.0,28.0,165.0,184.0,12.0,149.0,35.0,57.0,22.0,11.0,159.0,16.0,155.0,109.0,228.0,36.0
66,20.0,78.0,36.0,63.0,26.0,156.0,174.0,10.0,141.0,34.0,52.0,20.0,10.0,149.0,15.0,144.0,103.0,210.0,33.0
67,18.0,73.0,33.0,59.0,25.0,147.0,163.0,9.0,133.0,34.0,48.0,18.0,9.0,140.0,15.0,133.0,97.0,193.0,31.0
68,17.0,68.0,30.0,56.0,23.0,139.0,154.0,8.0,126.0,34.0,45.0,17.0,8.0,132.0,14.0,124.0,91.0,178.0,29.0
69,15.0,63.0,27.0,52.0,22.0,131.0,144.0,8.0,119.0,34.0,41.0,16.0,8.0,123.0,13.0,115.0,86.0,163.0,27.0
70,14.0,60.0,25.0,49.0,20.0,124.0,136.0,7.0,115.0,34.0,39.0,15.0,8.0,117.0,13.0,109.0,81.0,151.0,26.0
71,14.0,58.0,23.0,47.0,19.0,120.0,130.0,7.0,111.0,36.0,37.0,15.0,9.0,113.0,12.0,104.0,78.0,142.0,26.0
72,13.0,56.0,21.0,45.0,18.0,114.0,124.0,7.0,107.0,37.0,35.0,15.0,9.0,108.0,12.0,99.0,75.0,133.0,26.0
73,13.0,53.0,19.0,42.0,17.0,108.0,118.0,7.0,103.0,37.0,33.0,15.0,10.0,103.0,11.0,93.0,72.0,123.0,26.0
74,12.0,50.0,17.0,40.0,16.0,102.0,112.0,7.0,97.0,37.0,32.0,14.0,11.0,98.0,11.0,88.0,69.0,114.0,26.0
75,11.0,47.0,15.0,37.0,15.0,96.0,107.0,6.0,92.0,37.0,30.0,14.0,11.0,92.0,10.0,82.0,66.0,105.0,26.0
76,11.0,44.0,13.0,34.0,14.0,90.0,101.0,6.0,87.0,36.0,28.0,14.0,13.0,87.0,10.0,76.0,62.0,97.0,26.0
77,10.0,42.0,12.0,32.0,13.0,84.0,96.0,6.0,82.0,35.0,26.0,14.0,13.0,81.0,9.0,72.0,59.0,89.0,26.0
78,9.0,40.0,10.0,30.0,12.0,79.0,91.0,5.0,79.0,33.0,25.0,14.0,14.0,77.0,8.0,68.0,57.0,82.0,26.0
79,9.0,38.0,9.0,27.0,11.0,73.0,86.0,5.0,75.0,31.0,23.0,14.0,15.0,72.0,8.0,64.0,54.0,75.0,26.0
80,8.0,36.0,8.0,25.0,10.0,68.0,80.0,5.0,70.0,29.0,22.0,14.0,15.0,67.0,7.0,60.0,51.0,68.0,25.0
81,7.0,33.0,7.0,22.0,9.0,61.0,75.0,4.0,65.0,27.0,20.0,13.0,15.0,62.0,7.0,55.0,47.0,61.0,25.0
